Article,Date,Heading,NewsType
"Singapore: Oil prices resumed their slide in Asia Monday as a spurt in the number of US oil rigs in use and the prospect of renewed crude exports from the country compounded a global oversupply. At 0335 GMT, US benchmark West Texas Intermediate for January delivery was down 20 cents at $34.53, sitting at lows not seen since the height of the global financial crisis at the start of 2009. European benchmark Brent crude for February was down 33 cents at $36.55. Prices have slumped by almost a fifth since December 4 when the OPEC oil producers´ group decided against limiting its production, despite tepid demand and the supply glut. The commodity has sunk more than 60 percent from above $100 in summer 2014 and are now at levels not seen since the financial crisis. Oversupply woes were also stoked on Friday by the Baker Hughes US oil rig count which showed an increase of 17 for the week ending December 18 to 541 rigs. This added to ""the already prevailing negative sentiments in the market due to the build-up in inventory"", said Sanjeev Gupta, head of the Asia-Pacific Oil and gas practice at professional services organization EY. US lawmakers last week lifted a 40-year ban on oil exports, marking a historic shift even though it is still largely symbolic in the futures market. Gupta said while the move would likely have limited impact on spot prices, he warned it could ""negatively impacting long-term futures prices"".",12/21/2015,Oil extends slide on US production export worri,business
"strong>ISLAMABAD: Federal Finance Minister, Ishaq Dar on Sunday said the government has no intention to undertake privatization of Pakistan International Airlines (PIA). </strongIn a statement issued today, Ishaq Dar said the government is only looking for a strategic partner. He said the fleet of the national flag carrier has expanded under the present government. The Finance Minister said PIA will once again become a profitable organization. Meanwhile, PIA action committee held an emergency meeting here today and announced to stage a protest once again against the presidential ordinance for turning PIA into a public limited company. The PIA employees at head office and other outlets across the country will take part in the protest, sources said.",12/21/2015,No intention to privatize PIA Ishaq Dar,business
"strong>SINGAPORE: Gold retained gains from a two-day rally on Tuesday, supported by a slide in the dollar, although a slump in oil prices and uncertainty over the pace of future U.S. interest rate hikes capped the metal's advance.</strongWhile prices drew support from a big rise in assets of the top gold exchange-traded fund (ETF) late last week, a resumption in outflows this week indicated investors remained cautious.Spot gold was little changed at $1,079.20 an ounce by 0648 GMT, after gaining 2.5 percent in the last two sessions. The metal got a boost on Monday as the dollar fell after data from the Chicago Federal Reserve suggested the U.S. economy grew at a below average pace in November.""The jump in gold-ETF demand is impressive after the string of losses over the past couple of years, but the market will likely need to see further accumulation for the rally to be extended,"" said HSBC analyst James Steel.""A major stumbling block for a further gold rally is oil, and commodity prices in general,"" he said, adding that oil is a powerful drag on gold.Crude oil slid to its lowest levels since 2004 on Monday and more declines could ignite deflation fears. Bullion is often seen as a hedge against oil-led inflation.SPDR Gold Trust, the world's top gold ETF, saw its assets rise by nearly 19 tonnes on Friday, the first increase in two months and the biggest in four years. But that was followed by outflows of three tonnes on Monday.Holdings of the fund had hit a seven-year low earlier in the month, as investors positioned themselves for higher interest rates in the United States.While persistent inflows into the fund can boost gold prices, a further slump in oil could undermine any rally.Also in focus was the pace of the Fed's future rate hikes. The Fed last week raised U.S. interest rates for the first time in nearly a decade. Investors fear higher rates could dent demand for non-interest-paying gold, while boosting the dollar.The Fed's promise of gradual rate hikes in coming months means the central bank will not raise rates at every meeting, Atlanta Fed President Dennis Lockhart said on Monday. The more probable pace of upcoming hikes ""will be more like every other meeting,"" he said.",12/22/2015,Gold keeps gains from two day rally but oil slump a worry,business
"strong>Hong Kong: The dollar retreated against most of its major peers and emerging market currencies Wednesday, as analysts predict the Federal Reserve could hold off another hike in borrowing costs until April.</strongAs the effects of last week´s greenback rally -- fuelled by the US central bank´s first rate rise in almost a decade -- wear off, pressure has built on the unit as dealers decide to cash in at the end of the year.With a sense of optimism reappearing in regional markets -- and demand for higher-risk assets -- Asia tracked a rally on Wall Street for a second-successive day, boosting emerging currencies. And a lift in oil prices also supported commodity-based units.The dollar´s losses also come despite upbeat readings on US growth and consumer spending that indicate the Fed´s decision to begin lift-off was well justified.""There´s some paring of outstanding dollar long positions with investors reluctant to carry dollar exposure into the holidays,"" Ray Attrill, co-head of currency strategy at National Australia Bank in Sydney, told Bloomberg News.""If you want to be at least modestly constructive on the US dollar early next year, which we are at this stage, you´re probably going to need to see the market attaching a higher probability"" to the Fed raising rates in the first quarter, he said.In morning Asian trade the dollar bought 121.03 yen, down from 121.10 yen in New York Tuesday and well off the levels above 123 yen touched last week. The euro was at $1.0950 against $1.0954 but sharply up from the $1.0830 mark last week.Australia´s dollar rose 0.04 percent against the US unit, while the South Korean won was 0.2 percent higher and Taiwan´s dollar gained 0.1 percent. There were also increases for the New Zealand and Canadian dollars as well as the Thai baht.",12/23/2015,Dollar dips as effect of Fed rise wears off,business
"strong>Singapore: Oil prices extended their recent rally in Asia on Thursday as a drop in US crude supplies cheered global financial markets ahead of the long Christmas weekend.</strongThe main global contracts for the commodity surged more than 3.5 percent on Wednesday after the US Department of Energy reported inventories unexpectedly fell in the week ending December 18 while imports sank about 13 percent week on week.The news stoked hopes that a plunge in prices, which has seen the Brent contract hit 11-year lows, may be coming to an end.At 0330 GMT on Thursday US benchmark West Texas Intermediate climbed 25 cents, or 0.67 percent, to $37.75 a barrel and Brent gained 24 cents, or 0.64 percent, to 37.60.WTI this week broke past Brent for the first time since January, after US lawmakers last week lifted a 40-year ban on crude exports, leading to hopes of a fall in supplies at home.""Concerns over the global supply glut have been slightly eased by last week´s decline in stockpiles,"" Hong Sung Ki, a commodities analyst at Samsung Futures Inc. in Seoul, told Bloomberg News.""Seasonally stockpiles should be easing, but the issue here is how fast. At this price level, the number of rigs should continue to fall.""However, analysts pointed out that the US report also included some aspects that were less favourable towards addressing a supply glut that has sent prices diving more than 60 percent from above $100 since summer 2014.Domestic production of oil rose slightly and inventories at a closely watched trading hub in Cushing, Oklahoma, increased.",12/24/2015,Oil extends rally in Asia after US repor,business
"LAHORE: Federal Finance Minister, Ishaq Dar on Saturday said the present government is committed to overcoming major challenges of economic revival, energy crisis, elimination of terrorism and extremism from the country and doubling the education and health sectors’ budget. He was addressing the passing out ceremony of Probationary Officers of the 42nd Specialized Training Programme of the FBR here at Directorate General of Training and Research (Inland Revenue). Ishaq Dar said: “I have firm belief and faith that Pakistan has great potential to progress and has very bright future that is why we have almost grasped all these major challenges by ensuring remarkable achievements in these directions.” He mentioned that the PML N government had always put the country’s economy on track to speedy growth citing that in 2012-13 Pakistan’s economy was declared instable and no country was then ready do business with Pakistan or buy Pak bonds but today Pakistan’s bonds including Sukuk got unprecedented response at global level. He said the present government managed to stabilize Pakistan’s economy in just two years and that is why 22 credible institutions of the world have declared Pakistan’s economy much stable. “According to one of the global economic pundits, Pakistan could become world’s 18th largest economy from the current 44th till 2050, provided she maintained its current pace of economic development,” he said. The Finance Minister said the PML-N government managed to bring down the budget deficit to 5.3 percent from 8.8 percent and would soon lower it further to 4.3 percent.“We have curtailed the discretionary funds of the Prime Minister and the ministers,” he added.",12/26/2015,Major challenges of economic revival grasped Dar,business
"KARACHI: Federal Finance Minister, Ishaq Dar on Monday said Pakistan has come a long way since 2013, as international institutions have commended the country’s economic progress. Addressing the 39th FPCCI Export Award ceremony here, the Finance Minister said economy, education, energy and anti-terrorism efforts precede the incumbent government’s priority list. He said the Prime Minister has taken bold steps for restoring peace across the country including Karachi. Ishaq Dar said establishing economic discipline is the most difficult task. He said the rate of income tax collection has witnessed a rise of 16 percent over the past five months. “We managed to put in place economic order in the country by pursuing effective policies,” he added. The Finance Minister said the austerity measures were started from the Prime Minister’s House. He said the scope of Benazir Income Support programme is being enhanced to three million families.",12/28/2015,Income tax collection rose 16 pc in five months Dar,business
"strong>RIYADH: Saudi Arabia´s government ran a record budget deficit of 367 billion riyals ($97.9 billion) in 2015 because of low oil prices, the Council of Economic and Development Affairs said on Monday. </strongThe deficit is ""considered an acceptable figure"" under the circumstances, with oil languishing at multi-year lows, Hindi bin Abdullah al-Suhaimi, an advisor to the council, told a media briefing.  State spending in 2015 totaled 975 billion riyals, more than the 860 billion riyals originally planned because of extra outlays such as a salary bonus for public employees that marked the accession of King Salman in January, Suhaimi said. Revenues this year totalled 608 billion riyals, less than the original target of 715 billion riyals as prices for oil, on which the economy depends, fell further than expected. Officials are due to announce Saudi Arabia´s 2016 budget plan later in the afternoon.",12/28/2015,Saudi Arabia posts record 98 bn budget deficit for 2015,business
"strong>SINGAPORE: Gold slipped on Monday, tracking lower oil prices, but failed to get safe-haven bids despite weakness in the dollar and Asian equities as liquidity remained thin in a holiday-shortened week.</strongSpot gold eased 0.1 percent to $1,074 an ounce by 0259 GMT.Silver dropped 0.5 percent to $14.27.Oil prices fell after the long Christmas weekend, with international crude and product markets still well supplied in excess of demand.Gold is positively correlated to oil as the metal is seen as a hedge against petroleum-led inflation.The dollar index also fell, edging towards a two-month low hit earlier in the month.MSCI´s broadest index of Asia-Pacific shares outside Japan fell 0.2 percent, though Japan´s Nikkei was up 0.2 percent.Some markets, including Australia and many in Europe, will remain closed on Monday after Friday´s Christmas holiday.Many markets will also be shut this coming Friday for New Year´s Day.""As it is a holiday shortened week, I don´t think we would see much action. Having said that, we could see some sharp moves because of the paltry liquidity in markets,"" said a precious metals trader in Hong Kong.""Early next year, gold should move lower as the dollar will remain strong in the first half of next year,"" he said.Any price moves will also be impacted by the pace of US interest rate hikes, the trader said.Higher rates would dent demand for non-interest-paying gold, while boosting the dollar.Gold is set to close the year down about 9 percent, its third straight annual loss, largely in anticipation of the first US rate hike in nearly a decade, which occurred this month.Many traders and analysts expect gold to fall to $1,000 an ounce or even lower next year.Assets in SPDR Gold Trust, the world´s top gold exchange traded fund, are near a seven-year low, reflecting bearish investor sentiment.",12/28/2015,Gold slips with oil softer dollar fails to lift ,business
"strong>TOKYO: Oil prices fell on Monday after the long Christmas weekend, with U.S. crude defending a newly gained premium over internationally traded Brent contracts in quiet trading ahead of the end of the year.</strongFront-month US West Texas Intermediate (WTI) futures were trading at $37.87 per barrel at 0311 GMT, down 23 cents from their last settlement.Brent was down 16 cents at $37.73 a barrel, meaning that US crude defended a premium it gained over the globally traded benchmark last week.Trading volumes were down for both contracts in the post-holiday period. Only about 5,000 WTI contracts have changed hands so far during this trading session on Monday versus 8,953 contracts at this point in the trading session on December 7.The US market tightened slightly in December following reduced drilling activity, withdrawals from near record crude stockpiles and the prospect of crude exports following a 40-year export ban.""The biggest adjustment to prices comes from WTI gaining premium over the Brent. This was mainly followed by the US lifting its ban on crude oil exports,"" Singapore-based Phillip Futures said on Monday.The brokerage added that it expected ""a quiet week ahead"" with the biggest expected news for energy markets likely coming from U.S. inventory data to be published on Wednesday and Thursday.While the US slightly tightened, international markets remain over supplied as producers like Russia and the Organization of the Petroleum Exporting Countries (OPEC) produce between half a million and 2 million barrels of crude every day in excess of demand.At the same time, developed and emerging economies especially in Asia are slowing.Japan's industrial output fell 1.0 percent in November from the previous month, government data showed on Monday, suggesting that sluggish emerging market demand continues to cloud the outlook for the economy.In Japan's refining sector, top oil refiner JX Nippon Oil &amp; Energy Corp said on Monday it would trim its domestic crude refining plans in January from a year earlier, due to unspecified problems with its refining operations and scheduled maintenance.The company, the core business unit of JX Holdings Inc, said it would process 1.11 million barrels per day (5.49 million kilolitres) of crude oil in January for domestic consumption, down 2 percent from a year earlier.Japan's domestic demand has been easing due to a shrinking population, while a decline in kerosene demand accelerated this month due to warmer temperatures, a spokesman said.In 2014, Japan was the third-largest global oil consumer, closely followed by India, according to the BP Statistical Review of World Energy.",12/28/2015,Oil prices weaken US crude defends premium over Br,business
"ISLAMABAD: The number of e-Return filers in Pakistan has climbed to 500,000 compared to only 200,000 filers the previous year, sources at Federal Board of Revenue (FBR) said.The sources further said that the tax payers are being provided the facility of filing their returns online.The number of tax returns filers is witnessing a steady rise, the sources said.",12/29/2015,Half a million tax payers file e Returns this year,business
"strong>ISLAMABAD: There will be bank holiday on Friday, January 01, 2016 all over the country.</strongAll the banks including State Bank of Pakistan, Banking Services Corporation of Pakistan, commercial and private banks and financial institutions will remain closed on January 01 throughout the country.No transaction will be carried out in the banks on January 01. However, bank staff will remain present in the banks on this day for annual closing.",12/29/2015,Banks to remain closed on January 01,business
"strong>ISLAMABAD: National Electric Power Regulatory Authority ( NEPRA) has approved reduction in power tariff by Rs 2.06 per unit for the month of November.</strongNEPRA took up for hearing application filed by Central Power Purchasing Agency (CPPA) seeking reduction in power tariff for the said.During the course of hearing, NEPRA curtailed the tariff by Rs 2.06 per unit against fuel adjustment surcharge for the month of November keeping in view statistics presented by CPPA.According to NEPRA the reduction in tariff will not be applicable to consumers of K-Electric and domestic consumers using upto 300 units electricity per month.",12/29/2015,NEPRA cuts power tariff by Rs 206 per uni,business
"strong>Tokyo: Asian stocks were subdued on Tuesday, with Japanese and South Korean equities slipping, after crude oil prices resumed their slide and cooled investor sentiment.</strongMSCI's broadest index of Asia-Pacific shares outside Japan were effectively unchanged, and looked set for a loss of around 12 percent for the year.Japan's Nikkei lost 0.3 percent and South Korea's KOSPI fell 0.4 percent. Australian stocks bucked the trend and rose 0.4 percent.On Monday, prices of both Brent and U.S. crude dropped more than 3 percent, reversing a brief rebound and dragging U.S. energy shares down 1.8 percent as the worst performing of the major S&amp;P sectors.Brent was at $36.60 a barrel, near an 11-year low of $35.98 struck last week.The Dow dipped 0.1 percent and the S&amp;P 500 lost 0.2 percent overnight after trading resumed following the Christmas break, but activity is expected to remain thin until after the long New Year holiday weekend.In currencies, the dollar edged down 0.1 percent to 120.33 yen, within striking distance of a two-month low of 120.05 struck late last week.The greenback has been sapped by profit taking after the Federal Reserve this month hiked interest rates for the first time in nine years. The currency market will wait for the Fed to send fresh signals about when the second rate hike could take place in 2016 for potential dollar support.The euro nudged up 0.1 percent to $1.0977.The dollar fared better against its Canadian counterpart, which was weighed down as crude oil prices weakened again.The Canadian dollar stood little changed at C$1.3894 to the greenback after losing 0.7 percent overnight. The loonie fell to an 11-year low of C$1.4003 against the dollar earlier this month.""We are looking for USD/CAD to break 1.40 and head towards 1.45 in the first half of 2016. The oil industry is experiencing its biggest downturn since the 1990s and prices could fall another $10 a barrel before bottoming,"" wrote Kathy Lien, managing director at BK Asset Management.The Australian dollar gained 0.2 percent to $0.7262 while the New Zealand dollar rose 0.2 percent to $0.6859. Both currencies were confined to a narrow range ahead of the year's end.",12/29/2015,Asia stocks subdued as oil resumes f,business
"ISLAMABAD: Finance Minister Senator Mohammad Ishaq Dar has said all out efforts were being made to bring Pakistan International Airlines (PIA) out of deficit.Talking to media, he said the government had started restructuring of national flag carrier from day one.“Its fleet had been expanded from 18 to 38 which would soon reach 40,” he added.To a question about privatization of the Steel Mills, he said initially Sindh Government was offered to purchase the Steel Mills.He said civil and military leadership had same goals regarding operation Zarb-e-Azb and eradicating terrorism from the country.Replying to a question he said the Prime Minister Muhammad Nawaz Sharif had given special instructions to Punjab government for taking strict action in accordance with the law against banned outfits.Ishaq Dar said seminaries and international non-governmental organizations (INGOs) were being registered under newly formulated policy.Operation Zarb e Azb would continue till the elimination of last terrorist as civil and military leadership had expressed their resolve in this regard he added.",12/30/2015,Efforts afoot to pull PIA out of deficit Ishaq Dar,business
"ISLAMABAD: The Ministry of Commerce has finalized new Strategic Trade Policy Framework 2015-18 which would be announced soon after the approval of the Prime Minister, a senior official said.The Framework was finalized in consultation with all stakeholders and was submitted to the Prime minister for final approval, a senior official privy to trade policy formulation told APP here.He said that under the new strategic trade policy framework 2015-18 the exports of the country would be enhanced to $35 billion by the end of the year 2018. Every year around $4 billion would be added to the exports, he remarked.Highlighting some of the main focus of the policy, the official said that under the policy incentives would be given to the exporters besides providing them soft-term loans for the purchase of technology for products upgradation and value addition to make the export oriented industry competitive in the international markets.He added that old FTAs and PTAs would be reviewed and improved for the benefits of Pakistani exporters and their products.The official said that the Commerce Ministry and its subordinate organizations including Trade Development Authority of Pakistan (TDAP), Domestic Commerce Wing and Trade Dispute Resolution organization would be strengthened further for the benefit of the country’s exports and facilitation of the exporters.He said that carry forward policies of the previous trade policy would be implemented including the start of operations of EXIM Bank (Pakistan) for the support of the exporters.He said Drawback of Local Taxes and Levies (DLTL) would also be looked into in the new trade policy.",12/30/2015,Trade Policy Framework 2015 18 to be announced ,business
"strong>BERLIN: Global economic growth will be ""disappointing"" next year, the head of the International Monetary Fund said in a guest article for German newspaper Handelsblatt published on Wednesday.</strong""In many countries the financial sector still has weaknesses and in emerging markets the financial risks are increasing. All of that means global growth will be disappointing and uneven in 2016,"" IMF Managing Director Christine Lagarde said.She added that low productivity, ageing populations and the effects of the global financial crisis were putting the brakes on growth, which has weakened the medium-term prospects.",12/30/2015,Global growth will be disappointing in 2016,business
"strong>SINGAPORE: Crude oil futures fell around half a dollar early on Wednesday as the market remained under pressure from slowing demand and high supplies, while forecasts that a cold snap in Europe and the United States would be short-lived also hurt prices.</strongCrude prices have plunged by two-thirds since mid-2014 as soaring output from the Organization of the Petroleum Exporting Countries, Russia and the United States led to a global surplus of between half a million and 2 million barrels per day.More recently, a slowing demand outlook, especially in Asia but also Europe, has started dragging on prices.Front-month U.S. West Texas Intermediate crude futures were trading at $37.18 per barrel at 0140 GMT, down 69 cents or 1.82 percent from their last settlement. Brent futures were down 47 cents, or 1.24 percent, to $37.32 a barrel.Traders said the price falls were largely a result of a weak outlook for next year and the closing of 2015 trade books.""The 2016 outlook is for lower prices, especially early next year. Many are closing their last long positions for the year today as nobody wants to come back in January and be surprised badly. Better start with a clean sheet,"" a trader said.Forecasts that an upcoming cold weather in Europe will only be short-lived could also hurt crude prices.U.S. crude and Brent had both rallied about 3 percent in the previous session on hopes that a drop in temperatures would buoy demand for oil for heating purposes.But weather data in Thomson Reuters Eikon shows that average continental European temperatures are expected to drop from around 5 degrees Celsius currently towards and slightly below the seasonal norm of 2.4 degrees by Jan. 3 before rising to as high as 6-8 degrees by Jan. 7.For most of the United States, a brief cold period is also not expected to last for much more than a week.",12/30/2015,Crude oil prices drop more than 1 per,business
"strong>NEW YORK/LONDON: Oil prices rose on Thursday but fell as much as 35 percent for the year after a race to pump by Middle East crude producers and U.S. shale oil drillers created an unprecedented global glut that may take through 2016 to clear.</strongGlobal oil benchmark Brent and U.S. crude's West Texas Intermediate (WTI) futures rose between 1 and 2 percent on the day on short-covering and buying support in a thinly traded market ahead of the New Year holiday.But for 2015, both benchmarks fell double-digits for a second straight year as Saudi Arabia and other members of the once-powerful Organization of the Petroleum Exporting Countries (OPEC) again failed to boost oil prices.The U.S. shale industry, meanwhile, surprised the world again with its ability to survive rock-bottom crude prices, churning out more supply than expected, even as the sell-off in oil slashed by two-thirds the number of drilling rigs in the country from a year ago.The United States also took a historic move in repealing a 40-year ban on U.S. crude exports to countries outside Canada, acknowledging the industry's growth.""You do have to tip your hat to the U.S. shale industry and their ongoing ability to drive down costs and hang in there, albeit by their fingernails,"" said John Kilduff, a partner at Again Capital, an energy hedge fund in New York.Brent crude settled up 82 cents at $37.28 a barrel, rebounding from a near 11-year low of $36.10 hit earlier in the session. For the month, it was down 16 percent and for the year, it fell 35 percent. In 2014, Brent lost 48 percent.WTI rose 44 cents to $37.04 a barrel. It slid 11 percent in December and 30 percent for the year, after a 46 percent loss in 2014.The immediate outlook for oil prices remains bleak. Goldman Sachs has said prices as low as $20 per barrel might be necessary to push enough production out of business and allow a rebalancing of the market.Adding to oil's woes, floods across the Midwestern United States were threatening refineries and pipelines from Illinois to Louisiana, potentially swelling the glut of domestic crude at a time when stockpiles were already at record highs.A mild winter so far in the Northern Hemisphere due to the El Niño weather phenomenon has also slashed demand for heating oil. U.S. heating oil prices fell 40 percent for a second year in a row.""We have brimming oil inventories in Europe,"" Bjarne Schieldrop, chief commodity analyst at SEB in Oslo, said. ""And our predictions are that oil inventories in Asia are going to get closer to saturation in the first quarter.""Morgan Stanley said in its outlook for next year that ""headwinds (are) growing for 2016 oil.""The bank cited ongoing increases in available global supplies, despite some cuts by U.S. shale drillers. ""The hope for a rebalancing in 2016 continues to suffer serious setbacks,"" it said.strong>INDUSTRY PAIN</strongBrent prices briefly hit a 2004 bottom below $36 a barrel last week, effectively wiping out gains from a decade-long commodity super-cycle sparked by China's once-inexorable growth and energy demand boom.The downturn in oil has caused pain across the energy supply chain, including to shippers, private oil drillers and oil-dependent countries from Venezuela and Russia to the Middle East.Analysts estimate global crude production exceeds demand anywhere between half a million and 2 million barrels a day. This means even the most aggressive estimates of expected U.S. production cuts of 500,000 bpd for 2016 would be unlikely to fully rebalance the market.Oil began falling in mid-2014 as surging output from OPEC, Russia and U.S. shale producers outpaced demand. The downturn accelerated at the end of 2014 after a Saudi-led OPEC decision to keep production high to defend global market share rather than cut output to support prices.OPEC failed to agree on any production targets at its Dec. 4 meeting in Vienna, cementing its decision to protect market share, as the world braces for the return of Iranian crude exports to the market after the lifting of Western sanctions against Tehran.Russia is also showing no signs of reining in production, prompting traders, hedge fund managers and other speculators to establish record high active short positions in the market that would profit from further crude price falls.",01-01-2016,Oil ends 2015 down 35 per,business
"strong>ISLAMABAD: National Accountability Bureau (NAB) Chairman Qamar Zaman Chaudhry has said that an effective anti-corruption strategy yielded results in 2015 and it will continue in 2016.</strongThe NAB chairman said that it was encouraging that for the first time the anti-corruption has been made a part of development agenda in Pakistan in the context of governance.“The Planning Commission of Pakistan has included a chapter devoted to issues of corruption in the 11th five-year plan and we intend to work closely with the commission to achieve the goals,” the NAB chairman said, according to a press release issued here on Saturday.The NAB prosecuted corrupt elements and recovered over Rs4.5 billion looted money during the last one year, bringing the total recovery to date to Rs265.12 billion.Last year the NAB filed 12 references in the Rs22 billion Modarba scam and recovered over Rs1billion from the accused involved in the scam. NAB also arrested 33 accused in the case.During the last year, the NAB also filed nine references in the Rental Power Project case in respective accountability courts.On the directives of the NAB Chairman a standard operating procedure (SOP) has already been devised to rationalize the workload and timelines have been prescribed for efficient, effective and expeditious disposal of cases putting a maximum limit of 10 months from complaint verification to inquiry to investigation and finally to a reference in the accountability court.",01-02-2016,Effective anti corruption strategy yielded results NAB Chief,business
"ISLAMABAD: Minister for Water and Power Khawaja Asif on Monday said that 2015 remained a good year for the power sector as the total recoveries from consumers stood at 93 percent against 88 percent last year.The minister in a statement here, said that in December maximum recoveries were made bringing the annual recoveries to 93 percent resulting in a benefit of Rs 56 billion on this account only.The minister said that the losses also went down from 19per cent to 17.9 per cent during the said period resulting in a benefit of around Rs 12 billion.“We are Rs 68 billion higher in revenue in 2015 despite reducing monthly tariff,” he said.Asif said that Rs 49 billion were also saved on account of oil consumption owing to ‘merit order generation’.He said the government also succeeded to cap the circular debt since November 2014 and kept it in the band of Rs 310 – 330 billion.",01-04-2016,Power sector recoveries stand at 93 pcin 2015 Asif,business
"KARACHI: Federal Investigation Agency (FIA) on Monday raided offices of AKD Group and rounded up three of its senior officials over charges of causing losses of millions of rupees to the national kitty. Later, Aqeel Karim Dhedhi, Chairman of the AKD Group at a press conference here at Karachi Press Club expressed his reservations over the raids and the arrest of the two directors. Earlier, the FIA took into custody Muhammad Fareed Alam - CEO AKD Securities, Tariq Adam Ghumra - Director, Head of Equity Operations AKD Securities and Muhammad Iqbal – another Director in the AKD Group.",01-04-2016,FIA nabs three senior officials of AKD over graft charg,business
"strong>SINGAPORE: Oil prices surged during the start of 2016 trading as relations between top crude producers Saudi Arabia and Iran deteriorated, raising concerns about potential supply disruptions, though weak Asian manufacturing data kept a lid on bullish expectations.</strongSaudi Arabia, the world´s biggest oil exporter, cut diplomatic ties with Iran on Sunday in response to the storming of its embassy in Tehran.The diplomatic row between the two major oil producers escalated following Riyadh´s execution of a prominent cleric on Saturday.Global oil benchmark Brent climbed more than a dollar to a high of $38.50 per barrel on Monday, before easing back to $38.10 at 0350 GMT, still up over 2 percent.US crude´s West Texas Intermediate (WTI) futures were up 77 cents, or 2.08 percent, at $37.81 a barrel.Oil traders said the crisis between Saudi Arabia, also the world´s second-largest oil producer, and Iran, which holds some of the largest proven oil reserves, was pushing up prices.The clash between the two Middle Eastern rivals also comes as Iran hopes to ramp up oil exports following the expected removal of sanctions against it after reaching a deal over its alleged nuclear weapons development programme.""With increased geopolitical tensions between Saudi Arabia and Iran, the market has put a premium on prices just when markets opened (in 2016),"" brokerage Phillip Futures said on Monday.Despite Monday´s jump, oil prices are down by two-thirds since mid-2014 on ballooning oversupply as producers including the Organization of the Petroleum Exporting Countries (OPEC), Russia and the United States pump between 0.5 million and 2 million barrels of oil every day in excess of demand.",01-04-2016,Oil surges on Saudi Arabia Iran tensi,business
"strong>SYDNEY: Asian share markets struggled to stabilize on Tuesday as Chinese stocks bounced from a shaky start, offering hope that Monday's plunge was a flash in the pan.</strongThe People's Bank of China injected a generous slug of liquidity into domestic markets to keep borrowing costs down.The central bank also set the value of its yuan currency a little firmer than many had expected, countering concerns China was seeking an aggressive devaluation to aid exports.After an opening skid, the CSI300 index of the largest listed companies in Shanghai and Shenzhen rebounded to be 0.7 percent higher. That followed a 7 percent dive on Monday and only added to the market's reputation for wild moves.Shares in Shanghai veered either side of flat and were last up 0.2 percent.""The price action reminds investors that the world is more connected than ever; volatility is likely here to stay, and liquidity may suffer if investor uncertainty worsens,"" analysts at Citi said in a note.""Global growth and geopolitical stability remain the main sources of concern.""Investors across the rest of Asia hoped for the best and nudged Japan's Nikkei up 0.4 percent, recouping just a little of Monday's 3.1 percent dive.MSCI's broadest index of Asia-Pacific shares outside Japan swung higher to be up 0.3 percent, but Australia's market was still down by 0.9 percent.EMINI futures for the S&amp;P 500 ESc1 also hinted at a bounce with a rise of 0.25 percent.The Dow ended Monday down 1.58 percent, while the S&amp;P 500 fell 1.53 percent and the Nasdaq dropped 2.08 percent as weak Chinese and U.S. factory activity surveys rekindled fears of a global economic slowdown.strong>POLICY WATCH</strongPolicymakers seemed to share the general sense of unease.A South Korean finance ministry official on Tuesday said the government will take action to stabilize markets if needed.Sweden on Monday gave its central bank chief formal powers to act immediately to weaken the crown and help push up inflation, a radical step among developed world institutions.Under Governor Stefan Ingves, Sweden's Riksbank has already slashed rates to a record low of -0.35 percent.The European Central Bank was under pressure to do yet more after German inflation proved surprisingly weak in December, pushing down bond yields and slugging the euro.The common currency was stuck at $1.0825 on Tuesday, having touched a one-month low around $1.0780. Against a basket of major currencies, the dollar was flat at 98.872.The dollar regained some ground on the yen to stand at 119.49 after being as low as 118.68 on Monday.Oil prices edged up on Tuesday after a volatile session the previous day, with the impact of tension in the Middle East offset by worries over global economic growth.Brent LCOc1 for February delivery was quoted 29 cents firmer at $37.51 a barrel, while U.S. crude added 27 cents to $37.03.",01-05-2016,Asia shares try to stabilize China edges higher,business
"ISLAMABAD: The State Bank of Pakistan (SBP) has frozen bank accounts of over Rs1 billion as they were allegedly being used for financing terrorism.This was disclosed by Governor SBP, Ashraf Wathra and his team at a press conference here on Wednesday.Wathra said 121 bank accounts of more than Rs 1 billion were frozen over evidence of being used for funding terrorist activities in the light of a resolution of United Nations Security Council (UNSC).In order to choke the funding of terrorists, he stressed the need for making the National Counter-terrorism Authority (NACTA) functional besides enhancement of cooperation between federation and provinces.He said effective measures were being adopted for putting tabs of transfer of money through ‘Hundi’.The SBP Governor further said that about 20 to 30 percent imports were taking place without the letter of credit (LC). “We are binding such importers to identify their sources of funding,” he added.",01-06-2016,SBP freezes bank accounts of Rs1 bn over terror funding charg,business
